DS,Y
2023-07-26 07:25:00,374.0
2023-07-26 07:30:00,234.0
2023-07-26 07:35:00,222.0
2023-07-26 07:40:00,374.0
2023-07-26 07:45:00,296.0
2023-07-26 07:50:00,222.0
2023-07-26 07:55:00,330.0
2023-07-26 08:00:00,226.0
2023-07-26 08:05:00,414.0
2023-07-26 08:10:00,422.0
2023-07-26 08:15:00,244.0
2023-07-26 08:20:00,246.0
2023-07-26 08:25:00,444.0
2023-07-26 08:30:00,316.0
2023-07-26 08:35:00,302.0
2023-07-26 08:40:00,428.0
2023-07-26 08:45:00,298.0
2023-07-26 08:50:00,262.0
2023-07-26 08:55:00,484.0
2023-07-26 09:00:00,200.0
2023-07-26 09:05:00,302.0
2023-07-26 09:10:00,462.0
2023-07-26 09:15:00,284.0
2023-07-26 09:20:00,326.0
2023-07-26 09:25:00,408.0
2023-07-26 09:30:00,220.0
2023-07-26 09:35:00,320.0
2023-07-26 09:40:00,364.0
2023-07-26 09:45:00,234.0
2023-07-26 09:50:00,276.0
2023-07-26 09:55:00,450.0
2023-07-26 10:00:00,380.0
2023-07-26 10:05:00,348.0
2023-07-26 10:10:00,439.0
2023-07-26 10:15:00,442.0
2023-07-26 10:20:00,280.0
2023-07-26 10:25:00,362.0
2023-07-26 10:30:00,294.0
2023-07-26 10:35:00,358.0
2023-07-26 10:40:00,558.0
2023-07-26 10:45:00,480.0
2023-07-26 10:50:00,502.0
2023-07-26 10:55:00,534.0
2023-07-26 11:00:00,401.0
2023-07-26 11:05:00,532.0
2023-07-26 11:10:00,624.0
2023-07-26 11:15:00,462.0
2023-07-26 11:20:00,708.0
2023-07-26 11:25:00,900.0
2023-07-26 11:30:00,686.0
2023-07-26 11:35:00,788.0
2023-07-26 11:40:00,898.0
2023-07-26 11:45:00,734.0
2023-07-26 11:50:00,584.0
2023-07-26 11:55:00,1014.0
2023-07-26 12:00:00,768.0
2023-07-26 12:05:00,934.0
2023-07-26 12:10:00,1118.0
2023-07-26 12:15:00,1060.0
2023-07-26 12:20:00,1060.0
2023-07-26 12:25:00,1182.0
2023-07-26 12:30:00,1012.0
2023-07-26 12:35:00,1292.0
2023-07-26 12:40:00,1536.0
2023-07-26 12:45:00,1250.0
2023-07-26 12:50:00,1196.0
2023-07-26 12:55:00,1510.0
2023-07-26 13:00:00,1357.0
2023-07-26 13:05:00,1220.0
2023-07-26 13:10:00,1164.0
2023-07-26 13:15:00,1130.0
2023-07-26 13:20:00,1644.0
2023-07-26 13:25:00,1740.0
2023-07-26 13:30:00,1382.0
2023-07-26 13:35:00,1610.0
2023-07-26 13:40:00,1832.0
2023-07-26 13:45:00,1618.0
2023-07-26 13:50:00,1478.0
2023-07-26 13:55:00,1648.0
2023-07-26 14:00:00,1460.0
2023-07-26 14:05:00,1566.0
2023-07-26 14:10:00,1340.0
2023-07-26 14:15:00,2222.0
2023-07-26 14:20:00,2332.0
2023-07-26 14:25:00,1966.0
2023-07-26 14:30:00,2316.0
2023-07-26 14:35:00,1966.0
2023-07-26 14:40:00,2076.0
2023-07-26 14:45:00,1942.0
2023-07-26 14:50:00,2004.0
2023-07-26 14:55:00,2134.0
2023-07-26 15:00:00,2080.0
2023-07-26 15:05:00,1994.0
2023-07-26 15:10:00,1928.0
2023-07-26 15:15:00,2132.0
2023-07-26 15:20:00,1990.0
2023-07-26 15:25:00,1522.0
2023-07-26 15:30:00,1296.0
2023-07-26 15:35:00,1760.0
2023-07-26 15:40:00,1860.0
2023-07-26 15:45:00,1604.0
2023-07-26 15:50:00,1578.0
2023-07-26 15:55:00,2012.0
2023-07-26 16:00:00,1886.0
